ID,ROI,Area,X,Y,Mean_CD34,StDev_CD34,Mode_CD34,Min_CD34,Max_CD34,Median_CD34,Skew_CD34,Kurt_CD34,Background_CD34,Mean_Etv1,StDev_Etv1,Mode_Etv1,Min_Etv1,Max_Etv1,Median_Etv1,Skew_Etv1,Kurt_Etv1,Background_Etv1,Mean_Nppb,StDev_Nppb,Mode_Nppb,Min_Nppb,Max_Nppb,Median_Nppb,Skew_Nppb,Kurt_Nppb,Background_Nppb,Mean_synpr,StDev_synpr,Mode_synpr,Min_synpr,Max_synpr,Median_synpr,Skew_synpr,Kurt_synpr,Background_synpr,Mean_trpa1,StDev_trpa1,Mode_trpa1,Min_trpa1,Max_trpa1,Median_trpa1,Skew_trpa1,Kurt_trpa1,Background_trpa1,Mean_trpm8,StDev_trpm8,Mode_trpm8,Min_trpm8,Max_trpm8,Median_trpm8,Skew_trpm8,Kurt_trpm8,Background_trpm8,Mean_calca,StDev_calca,Mode_calca,Min_calca,Max_calca,Median_calca,Skew_calca,Kurt_calca,Background_calca,Mean_nefh,StDev_nefh,Mode_nefh,Min_nefh,Max_nefh,Median_nefh,Skew_nefh,Kurt_nefh,Background_nefh,Mean_S100b,StDev_S100b,Mode_S100b,Min_S100b,Max_S100b,Median_S100b,Skew_S100b,Kurt_S100b,Background_S100b,Mean_trpv1,StDev_trpv1,Mode_trpv1,Min_trpv1,Max_trpv1,Median_trpv1,Skew_trpv1,Kurt_trpv1,Background_trpv1,Mean_sstr2,StDev_sstr2,Mode_sstr2,Min_sstr2,Max_sstr2,Median_sstr2,Skew_sstr2,Kurt_sstr2,Background_sstr2,Mean_Fxyd2,StDev_Fxyd2,Mode_Fxyd2,Min_Fxyd2,Max_Fxyd2,Median_Fxyd2,Skew_Fxyd2,Kurt_Fxyd2,Background_Fxyd2,Mean_mrgprd,StDev_mrgprd,Mode_mrgprd,Min_mrgprd,Max_mrgprd,Median_mrgprd,Skew_mrgprd,Kurt_mrgprd,Background_mrgprd,Mean_tmem45b,StDev_tmem45b,Mode_tmem45b,Min_tmem45b,Max_tmem45b,Median_tmem45b,Skew_tmem45b,Kurt_tmem45b,Background_tmem45b,Mean_tmem233,StDev_tmem233,Mode_tmem233,Min_tmem233,Max_tmem233,Median_tmem233,Skew_tmem233,Kurt_tmem233,Background_tmem233,Cellstack,Thumbnail
0,0001-0229,8,1135.5,229,176.5,25.4727,146,146,217,173,0.4195,-1.1348,71.0672,12.875,13.7054,7,0,37,7,0.8421,-0.7637,23.0448,34.5,4.2426,36,24,36,36,-2.2678,3.1429,29.2836,71.75,14.4494,68,43,93,74,-0.6678,0.3596,40.1343,35.625,17.816,30,15,60,30,0.3162,-1.252,37.8358,11,1.7728,10,8,14,11,0,-0.2562,16.8358,16.75,3.196,21,12,21,17,0.1018,-1.0738,13.791,3.5,0.9258,3,3,5,3,1.1547,-0.6667,3.3731,14.25,1.669,13,12,17,14,0.3695,-0.9507,14.9925,15.5,3.5456,13,12,23,15,1.2026,0.5201,14.8955,22.125,3.1368,20,17,27,23,-0.06355,-0.6981,21.9851,37.125,5.1669,35,31,47,38,0.7074,-0.2799,19.5597,19.875,3.7961,19,15,27,20,0.6054,-0.2767,20.1045,37.5,3.6253,34,33,43,39,0.125,-1.3124,30.5373,19.25,6.5846,11,11,31,20,0.5436,-0.7382,17.9627,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\1_0001-0229.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\1_0001-0229.tif
1,0002-0232,19,1141.6579,232.3421,157.3684,39.3435,135,103,238,146,0.608,-0.7566,78.0745,23.4737,26.4604,0,0,67,15,0.6821,-1.1424,24.6957,34.1053,8.259,36,24,48,36,0.195,-0.8004,31.0062,83.3158,15.155,74,62,118,80,0.6971,-0.07866,46.8571,48.1579,24.2791,30,15,105,45,0.4582,-0.2766,44.5342,11.6316,2.0333,12,7,16,12,-0.3381,0.6318,21.0621,15.8421,2.3396,15,13,21,15,0.5961,-0.3915,13.7453,3,0,3,3,3,3,NaN,NaN,3.4286,16.3684,3.4994,13,11,24,16,0.7145,-0.2467,16.8137,16.4211,2.6732,16,10,21,16,-0.5554,0.2608,16.5963,22.4211,5.4906,20,14,35,22,0.668,0.323,23.1553,33.9474,6.355,36,25,48,34,0.2335,-0.5779,19.6832,19.1579,2.2177,19,16,24,19,0.4238,-0.2638,20.4099,35.1053,5.076,34,24,45,34,0.07834,-0.0747,32.1988,22.2632,6.7234,14,14,39,22,0.829,0.3674,19.7453,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\2_0002-0232.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\2_0002-0232.tif
2,0005-0256,54,1252.4815,256.5,181.2037,47.3666,162,86,255,173,0.005428,-0.8883,59.7788,47.0185,30.7648,45,0,127,45,0.6326,0.3015,72.6858,35.3333,11.2803,36,12,60,36,0.1104,-0.06527,37.3274,144.7037,26.4123,136,87,217,149,0.08962,0.002435,72.5619,58.8889,26.6824,60,0,105,60,-0.3137,-0.3676,54.292,13.3519,1.8547,13,9,18,13,0.1737,0.2083,12.9867,18.2222,4.3336,15,11,32,17,1.2627,1.5714,20.3761,4,1.2738,3,2,7,3,0.774,-0.6198,6.6372,21.9444,5.2716,19,12,34,22,0.1743,-0.3299,25.1947,19.7593,4.4081,17,10,31,20,0.09462,-0.07879,20.0487,23.9815,4.5162,20,13,33,24,-0.005158,-0.3594,23.469,50.9815,25.3299,18,7,90,62,-0.4295,-1.2273,35.5398,18.7222,2.2354,17,14,24,18,0.1276,-0.3844,19.8805,43.0556,6.2114,42,30,56,42,0.2259,-0.1536,37.3186,33.537,8.8119,39,18,51,32,0.158,-1.0329,36.0044,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\3_0005-0256.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\3_0005-0256.tif
3,0006-0275,43,1388.8023,274.7791,189.2558,48.4528,255,108,255,184,-0.006013,-1.3694,56.7033,25.2791,24.0489,0,0,82,22,0.9126,0.02239,50.3445,53.907,15.484,60,24,109,60,0.9338,2.2317,46.7177,135.6279,33.8139,93,74,199,136,-0.0715,-0.9989,92.6029,63.8372,24.2957,60,15,120,60,0.3953,0.3937,67.8947,13.5349,1.9561,12,9,18,14,0.09192,-0.3016,13.1914,16.907,2.4863,17,12,23,17,0.4083,-0.08634,16.2823,4.6744,1.3042,6,2,7,5,-0.4858,-0.71,7.1005,24.093,5.402,18,15,38,23,0.6819,-0.08416,32.4689,21.186,2.9941,20,15,29,21,0.233,0.07895,19.7321,30,4.7909,33,19,38,31,-0.6034,-0.3151,27.0287,81.3488,20.2283,76,42,130,82,0.1341,-0.292,77.3971,23.3488,3.8845,22,17,32,23,0.374,-0.3397,37.2536,52.6047,10.7374,59,33,81,53,0.2592,-0.02051,57.3923,32.6744,10.8622,28,16,77,29,2.0039,5.234,50.9665,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\4_0006-0275.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\4_0006-0275.tif
4,0011-0302,117,1709.8504,301.859,205.2222,51.5645,255,86,255,222,-0.4905,-1.2204,46.5808,33.3761,46.7939,0,0,255,22,2.3609,6.5402,59.8522,43.4872,11.7625,48,12,72,48,0.2019,0.2036,40.134,130.4103,36.682,93,62,236,130,0.4013,-0.2554,47.7526,68.0769,23.3494,45,15,135,60,0.2449,-0.05827,54.9485,12.1966,2.5503,13,5,17,13,-0.5871,-0.03689,11.2543,18.8205,3.9949,18,13,31,18,1.2277,1.3892,20.6907,25.0256,26.501,3,2,96,11,1.1585,-0.009165,25.8213,43.8632,28.11,30,16,124,32,1.3844,0.7983,49.5533,19.0855,4.1762,19,4,28,20,-0.9177,1.2154,18.5533,30.8376,5.8516,27,18,48,31,0.1365,-0.203,29.3849,68.7265,26.9231,68,12,137,69,0.0527,-0.6788,21.3024,22.6581,3.7535,22,16,39,22,1.1831,2.798,26.299,47.4103,11.4832,40,28,89,45,0.8931,0.795,38.4192,33.1453,12.8709,24,11,91,30,1.8769,4.2627,36.4811,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\5_0011-0302.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\5_0011-0302.tif
5,0012-0309,59,1436.8559,309.1441,159.2034,40.1947,130,86,255,157,0.3935,-0.1961,85.8548,104.6441,54.9083,97,7,255,97,0.5011,0.1736,98.5323,163.4915,53.6683,255,72,255,145,0.4182,-0.9991,116.5605,79.1695,32.9399,68,31,255,74,2.5662,11.8634,49.4516,151.7797,59.6814,135,45,255,135,0.3225,-0.8552,121.996,16.2712,7.0217,12,7,38,14,1.2226,0.8696,14.6855,13.7119,2.4569,13,9,22,13,0.625,1.293,12.4597,80.339,7.4939,72,66,99,80,0.3461,-0.3104,63.2056,91.5254,19.6419,89,59,143,89,0.6811,-0.1391,94.1976,27.2712,6.651,23,17,47,26,0.7694,0.4072,23.3548,45.7966,11.9608,42,27,92,42,1.113,2.2354,44.4677,41.1356,12.5567,37,19,68,38,0.3484,-0.6773,32.8831,30.7797,4.115,31,25,45,31,0.9046,1.1929,31.2823,45.8475,7.7988,46,29,70,45,0.5487,0.3989,41.3589,54.322,15.1002,49,31,91,52,0.6271,-0.1986,51.754,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\6_0012-0309.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\6_0012-0309.tif
6,0013-0315,151,910.2682,314.6722,147.0397,34.1824,157,59,255,146,0.4173,0.6122,65.0989,20,20.5783,0,0,75,15,0.7482,-0.3592,22.7433,33.457,11.8882,36,12,72,36,0.7638,0.7911,27.3396,79.1457,22.2541,74,31,149,74,0.657,0.6676,41.0722,50.1656,20.1281,45,15,120,45,0.268,0.0228,38.7433,11.9073,1.856,10,8,17,12,0.3807,-0.44,11.2487,16.5232,2.6779,16,12,27,16,0.9304,2.3999,15.8369,3.3311,0.8998,3,2,8,3,2.3311,8.7538,3.2406,18.9205,5.5911,17,6,37,18,0.7374,0.8478,18.7941,18.9669,3.391,19,12,29,19,0.2282,-0.001278,18.2754,28.2053,5.4422,29,18,46,28,0.6267,0.456,25.8717,65.9205,18.854,68,10,105,67,-0.3103,0.08544,34.5588,19.7285,3.3064,19,12,29,20,0.06584,-0.3679,19.7406,40.3245,9.9864,40,23,91,39,1.6059,4.3285,33.7059,24.1656,6.6758,21,10,46,23,0.4003,0.09766,22.8102,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\7_0013-0315.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\7_0013-0315.tif
7,0014-0321,78,1589.8205,321.7564,196.3462,54.1951,255,75,255,206,-0.4717,-1.0367,60.3439,58.0897,51.0376,0,0,240,52,1.1906,1.4522,108.1423,74.8974,17.7351,72,36,121,72,-0.03885,-0.2113,67.4941,132.7179,45.9729,130,62,230,130,0.1954,-0.8507,66.7945,98.6538,31.9361,120,30,195,105,0.157,0.005203,90.415,16.0769,2.1669,16,10,21,16,-0.3077,0.1525,15.2332,20.9359,5.3509,20,14,45,20,2.6802,7.8028,25.6403,3.6538,0.9912,3,2,6,4,0.655,0.1216,4.3281,27.0897,4.6659,23,19,36,27,0.1358,-0.9458,24.8103,25.1667,3.9851,23,18,40,25,1.2035,2.6926,25.3162,39.2436,6.3002,37,25,58,39,0.2913,0.4138,36.8972,77.0897,27.203,46,29,131,79,-0.02506,-1.1926,46.7194,28.0897,4.349,27,20,41,27,0.6005,0.04871,32.2806,57.0769,17.2354,41,32,110,52,0.9879,0.199,56.2569,45.2051,16.3607,42,26,106,42,2.0324,4.1759,61.3715,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\8_0014-0321.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\8_0014-0321.tif
8,0015-0330,16,1067.5625,330.6875,162.1875,30.3781,151,108,211,162,0.07425,-0.7874,66.3892,13.4375,16.3624,0,0,45,7,0.6873,-1.0581,24.1677,27.75,8.4499,24,12,48,24,0.6979,0.4899,27.3832,172.625,25.8737,136,136,211,180,-0.08188,-1.3392,59.1078,45.9375,23.5385,60,0,75,60,-0.4264,-0.9581,37.7246,10.6875,2.5747,10,7,16,10,0.7693,0.3091,10.1557,15.9375,2.3229,17,11,20,16,-0.1199,0.05216,27.2814,4.1875,1.4705,3,3,6,3,0.4471,-1.7432,4.3593,18.6875,5.8277,19,11,34,19,1.1331,1.1629,21.8503,13.625,3.2223,16,7,18,15,-0.4403,-0.8357,15.1617,24.875,5.0843,24,16,34,24,0.1506,-0.8862,22.1317,53.875,12.4626,50,27,72,56,-0.4759,-0.2919,38.7006,16.0625,2.0484,15,13,19,16,0.05764,-1.1592,19.1198,49.0625,10.0497,55,32,69,51,0.09029,-0.7251,32.9701,19.625,6.6119,28,7,28,20,-0.3272,-0.9711,20.1856,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\9_0015-0330.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\9_0015-0330.tif
9,0016-0334,107,611.1822,333.7523,179.486,49.8542,255,97,255,162,0.2383,-1.2902,51.7801,17.9813,21.4502,0,0,90,7,1.1724,0.6583,37.4504,37.8224,15.8053,36,12,109,36,1.4815,3.7941,38.9362,97.4299,42.5878,74,24,223,93,0.7925,0.4158,92.2482,49.2056,23.5639,60,0,105,45,-0.03028,-0.4608,49.6277,12.3458,2.6246,11,8,20,12,0.3717,-0.261,11.6631,17.3271,4.5862,17,11,44,17,3.0194,12.4847,35.6525,4.1215,3.0737,3,2,24,3,4.4013,22.0133,6.6773,19.6355,4.9875,18,8,39,19,0.5931,1.3107,24.961,19.514,3.9439,15,10,32,19,0.5386,0.2781,18.8404,26.1495,5.7475,27,12,43,27,0.1455,-0.04809,21.3865,66.6636,33.4049,96,6,131,67,-0.08674,-0.8881,58.7447,34.1028,20.1443,18,14,93,24,1.03,-0.1745,42.5177,44.8505,21.2207,39,24,142,38,2.4533,7.0474,58.1489,38.0935,23.2556,24,12,117,30,1.6141,2.1628,72.0071,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\10_0016-0334.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\10_0016-0334.tif
