ID,ROI,Area,X,Y,Mean_cd34,StDev_cd34,Mode_cd34,Min_cd34,Max_cd34,Median_cd34,Skew_cd34,Kurt_cd34,Background_cd34,Mean_Etv1,StDev_Etv1,Mode_Etv1,Min_Etv1,Max_Etv1,Median_Etv1,Skew_Etv1,Kurt_Etv1,Background_Etv1,Mean_nppb,StDev_nppb,Mode_nppb,Min_nppb,Max_nppb,Median_nppb,Skew_nppb,Kurt_nppb,Background_nppb,Mean_tmem45b,StDev_tmem45b,Mode_tmem45b,Min_tmem45b,Max_tmem45b,Median_tmem45b,Skew_tmem45b,Kurt_tmem45b,Background_tmem45b,Mean_trpa1,StDev_trpa1,Mode_trpa1,Min_trpa1,Max_trpa1,Median_trpa1,Skew_trpa1,Kurt_trpa1,Background_trpa1,Mean_fxyd2,StDev_fxyd2,Mode_fxyd2,Min_fxyd2,Max_fxyd2,Median_fxyd2,Skew_fxyd2,Kurt_fxyd2,Background_fxyd2,Mean_synpr,StDev_synpr,Mode_synpr,Min_synpr,Max_synpr,Median_synpr,Skew_synpr,Kurt_synpr,Background_synpr,Mean_tmem233,StDev_tmem233,Mode_tmem233,Min_tmem233,Max_tmem233,Median_tmem233,Skew_tmem233,Kurt_tmem233,Background_tmem233,Mean_trpv1,StDev_trpv1,Mode_trpv1,Min_trpv1,Max_trpv1,Median_trpv1,Skew_trpv1,Kurt_trpv1,Background_trpv1,Mean_tubb3,StDev_tubb3,Mode_tubb3,Min_tubb3,Max_tubb3,Median_tubb3,Skew_tubb3,Kurt_tubb3,Background_tubb3,Mean_trpm8,StDev_trpm8,Mode_trpm8,Min_trpm8,Max_trpm8,Median_trpm8,Skew_trpm8,Kurt_trpm8,Background_trpm8,Mean_calca,StDev_calca,Mode_calca,Min_calca,Max_calca,Median_calca,Skew_calca,Kurt_calca,Background_calca,Mean_mrgprd,StDev_mrgprd,Mode_mrgprd,Min_mrgprd,Max_mrgprd,Median_mrgprd,Skew_mrgprd,Kurt_mrgprd,Background_mrgprd,Mean_piezo2,StDev_piezo2,Mode_piezo2,Min_piezo2,Max_piezo2,Median_piezo2,Skew_piezo2,Kurt_piezo2,Background_piezo2,Mean_s100b,StDev_s100b,Mode_s100b,Min_s100b,Max_s100b,Median_s100b,Skew_s100b,Kurt_s100b,Background_s100b,Cellstack,Thumbnail
0,0167-0907,259,906.4344,167.4614,29.0579,9.9152,22,0,61,28,0.117,-0.3367,30.2921,65.8301,29.0537,70,11,158,67,0.4213,-0.2314,25.6213,38.7336,10.4738,42,14,73,39,0.4911,0.4215,36.1361,55.4865,33.7909,37,3,179,51,0.9556,1.001,14.9752,20.0618,7.1866,17,7,49,19,0.9681,1.2414,20.1361,76.888,35.1844,72,9,173,75,0.171,-0.3315,22.1163,46.9653,17.8639,34,9,101,45,0.5034,-0.1833,25.1683,57.6718,17.552,55,16,111,55,0.2554,-0.1688,39.1708,42.139,14.967,36,16,100,40,0.774,0.6135,31.8936,68.5212,29.0204,55,11,162,66,0.3185,-0.02994,56.1485,21.5946,3.4464,20,13,33,21,0.3014,0.12,22.5891,63.6602,24.6775,53,23,165,59,1.0849,1.4604,37.052,61.4247,10.4413,58,24,91,61,-0.1231,0.06639,54.7475,30.6486,9.2273,27,16,73,29,1.5869,3.3671,31.2475,52.7838,20.2299,43,19,135,49,1.5161,2.6347,56.2698,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\1_0167-0907.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\1_0167-0907.tif
1,0173-0727,237,727.2932,172.7574,44.6878,11.4838,40,19,89,43,0.4961,0.4971,38.5536,30.0675,10.7894,25,0,65,30,0.2713,0.3505,23.5761,44.8481,9.5182,51,21,69,45,0.07966,-0.4432,42.0698,106.5992,45.3939,81,23,247,103,0.3152,-0.4985,36.1047,31.9451,11.4293,21,12,75,30,0.8419,0.8941,36.2868,110.7131,30.0823,69,39,224,110,0.4452,0.4326,46.3641,83.2743,23.4365,77,39,153,82,0.5316,0.05183,39.0449,93.9198,24.331,85,38,157,92,0.2141,-0.6522,50.4414,30.519,8.5646,26,9,63,30,0.6641,0.9248,34.0673,57.9409,17.4083,49,21,107,56,0.3362,-0.3154,58.8354,23.5063,4.9012,21,14,68,23,3.352,27.3015,25.6284,31.7932,6.1399,28,17,49,32,0.3476,-0.03615,31.8504,114.4726,22.9017,101,70,181,111,0.5448,-0.1947,73.5287,51.2489,15.1585,41,25,133,49,1.9087,7.0181,35.2294,49.616,14.7984,45,9,92,49,0.08974,-0.07917,54.1297,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\2_0173-0727.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\2_0173-0727.tif
2,0239-0856,306,856.1013,239.4804,44.2647,10.3812,46,21,74,44,0.2248,-0.328,31.8426,35.8105,14.3498,33,3,109,34,0.8792,2.4132,31.3727,51.8137,17.4516,43,26,158,48,2.4477,9.9611,55.3264,13.9673,15.0679,7,0,130,11,4.0232,20.0139,17.5903,19.4967,5.9485,19,7,42,19,0.748,0.8781,16.5162,29.0425,9.1967,24,10,68,27,1.0752,1.7387,23.4213,22.6471,7.0997,19,7,48,22,0.5411,0.4607,26.0278,57.2778,12.5861,48,25,90,57,0.1899,-0.1557,47.2083,34.2059,7.2379,33,17,61,34,0.5886,0.8529,31.287,114.219,28.8725,123,30,173,116,-0.3937,-0.04216,46.8704,24.7353,3.3533,26,14,37,25,0.0143,0.03197,19.7963,27.9575,4.0813,25,18,45,27,0.8147,1.5264,26.4699,68.9575,11.8974,69,38,117,68,0.6638,1.1634,57.9051,40.4085,10.7852,41,21,92,39,1.7331,5.2297,25.7292,100.8235,18.6333,84,50,151,101,0.07918,-0.4191,55.3542,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\3_0239-0856.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\3_0239-0856.tif
3,0288-0416,67,416.4552,287.7836,56.9851,14.3205,51,22,97,55,0.1296,-0.04782,63.975,94.5672,26.8555,99,46,176,93,0.3226,0.1353,72.0458,177.3284,41.116,232,106,255,177,-0.02344,-0.9505,88.7208,49.6866,21.2647,26,5,99,46,0.4064,-0.2321,18.55,38.4627,40.8735,23,14,225,26,3.0677,9.2452,52.1792,55.5522,16.4697,41,26,101,53,0.6813,-0.07339,55.8583,32.7164,5.3874,31,18,45,33,-0.3499,0.2901,31.6333,84.1642,19.7097,84,40,142,84,-0.02334,0.3858,67.6,61.8358,13.1571,64,28,96,62,0.04215,-0.1028,55.9375,59.9403,16.1629,50,30,101,56,0.6823,-0.08545,92.2667,29,3.1623,29,23,37,29,0.2925,-0.2979,31.8458,37.6866,15.611,33,25,118,33,3.3131,12.0449,52.6875,90.4776,14.5523,89,63,126,90,0.2738,-0.04446,90.5458,39.4328,4.9916,37,28,50,39,0.08914,-0.4728,47.8083,82.1343,17.7772,61,40,122,83,-0.1393,-0.5552,113.3542,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\4_0288-0416.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\4_0288-0416.tif
4,0295-0353,90,353.4444,295.7222,60.4222,12.9493,64,15,102,59,0.1856,1.4602,53.5203,97.9,27.0954,96,36,169,96,0.3482,-0.01877,48.0812,187.6111,44.9273,255,100,255,186,0.09428,-1.2692,75.6052,56.6556,35.6251,70,6,233,48,1.9464,5.9616,15.2214,27.7444,7.6181,31,11,46,27,0.4023,-0.2122,24.2066,46.6889,10.8407,44,24,82,45,0.9901,1.7076,22.0701,37.3778,5.6261,35,24,52,37,0.09316,0.07897,32.8745,84.7667,14.551,89,45,120,86,0.01622,-0.2005,55.1181,57.9333,14.5639,48,31,101,56,0.8057,0.7195,36.4834,56.9778,15.8702,47,26,92,55,0.2691,-0.5498,58.3395,29.0778,3.4971,28,23,37,29,0.1535,-0.5529,26.7011,33.3444,4.7171,32,20,46,33,0.03585,0.1351,31.2915,87.0778,11.399,82,59,117,88,-0.04058,-0.1167,75.3247,42.4444,4.7785,42,31,51,43,-0.3816,-0.4336,40.2841,73.2667,15.0667,68,40,113,73,0.1503,-0.09025,80.4354,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\5_0295-0353.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\5_0295-0353.tif
5,0214-0466,108,466.25,213.8796,47.4167,13.3935,47,19,105,47,0.9135,2.1582,51.6451,87.6574,28.5501,40,40,173,88,0.4775,0.4208,40.6689,160.1296,58.3659,255,41,255,162,0.04488,-1.0786,51.1502,57.1759,27.6361,46,7,126,53,0.3499,-0.6515,26.2765,24.037,8.0778,19,7,53,23,0.6249,1.1477,27.1536,38.1111,9.6822,38,17,65,38,0.1704,-0.3163,38.7577,30.6574,7.2501,30,17,57,30,1.1522,1.9782,38.2628,83.0463,21.8753,112,36,143,85,-0.03845,-0.6368,55.4471,54.6574,20.2462,55,24,104,52,0.4945,-0.6722,31.6997,53.3333,16.5332,45,26,116,53,0.7406,0.81,48.8942,30.8241,14.8499,24,15,94,27,2.709,7.36,37.1126,26.8611,4.6694,27,14,45,27,0.2377,1.5485,25.9932,79.9444,12.7028,72,51,108,80,-0.1917,-0.6252,73.4539,33.0926,6.1819,28,20,51,33,0.2176,-0.424,39.7577,62.0278,14.2176,59,30,94,61,0.1517,-0.4977,60.0307,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\6_0214-0466.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\6_0214-0466.tif
6,0262-0687,96,687.375,262.3125,38.4792,11.1601,32,12,69,39,0.1612,-0.01907,37.2383,86.4375,33.0874,62,22,178,79,0.673,-0.01278,38.0144,174.4583,49.4392,255,61,255,169,-0.06136,-0.858,56.1011,47.3021,27.3396,47,6,142,44,1.0517,1.0704,14.1119,18.7708,5.1941,18,6,29,18,-0.1114,-0.5889,18.5451,52.7396,15.1465,50,18,84,54,-0.2366,-0.5146,23.148,25.4583,5.5058,29,13,37,25,-0.08984,-0.6001,25.8917,82.0521,18.1267,76,27,118,82,-0.172,-0.02497,46.6498,58.6562,14.9714,57,29,101,57,0.5132,0.224,37.1913,72.4688,23.8989,72,24,126,72,0.2793,-0.662,49.444,24.1771,3.2477,22,17,33,24,0.1928,-0.1324,21.8123,28.4271,3.7494,28,17,36,28,-0.3091,-0.1122,32.0866,75.9271,10.2416,69,58,104,75,0.3351,-0.2692,64.3466,33.5417,6.2271,30,23,58,32,1.285,2.1384,30.704,70.3125,21.9307,55,27,122,66,0.4628,-0.5583,66.5271,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\7_0262-0687.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\7_0262-0687.tif
7,0242-0634,163,634.3282,242.4693,37.092,11.0139,38,11,67,37,0.302,-0.1627,35.1672,53.184,23.8421,46,17,127,48,1.0472,0.8064,41.1522,102.2577,47.5794,54,23,255,95,0.8627,0.6965,47.6836,44.7546,34.1327,19,0,148,33,1.037,0.2837,32.3731,18.2761,6.1797,17,8,50,17,1.5654,4.5777,18.7284,43.2515,18.6164,31,16,120,41,1.4068,2.9368,49.1194,30.184,10.6945,27,16,85,28,2.6098,9.3145,35.0179,64.6564,16.3727,70,26,117,63,0.3864,0.1361,55.3552,40.3804,11.8646,28,17,78,40,0.5712,0.02252,29.1194,46.6871,14.248,44,17,92,45,0.5346,0.1364,55.5463,22.638,4.1867,21,14,43,22,1.5012,5.4427,22.2418,27.1902,4.0636,29,20,41,27,0.4399,-0.02541,28.3284,68.8834,10.9507,63,42,101,68,0.3485,0.1573,70.3612,30.2454,6.9541,30,18,67,29,1.864,6.2673,35.1403,57.6074,13.3011,53,28,92,57,0.2623,-0.07184,65.6955,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\8_0242-0634.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\8_0242-0634.tif
8,0010-0752,144,751.7361,9.8681,33.4028,10.9028,34,2,67,34,0.2075,0.4084,39.4536,72.3403,31.8049,38,13,156,69,0.382,-0.5569,26.7216,138.4931,62.4211,255,27,255,141,0.1322,-1.1138,41.189,55.0625,32.7348,32,8,163,51,0.7147,-0.08872,23.4055,17.9028,6.0004,16,6,35,17,0.6449,-0.04905,18.6186,39.5625,14.7101,24,8,73,40,0.01378,-0.8652,33.2921,33.7153,10.561,34,14,75,32,1.0189,1.6531,41.2027,75.625,25.3697,47,31,154,73,0.5519,-0.0276,47.0619,57,18.2347,59,19,116,56,0.2235,0.04009,35.244,56.4792,16.6599,61,14,93,59,-0.2361,-0.4002,41.7079,31.0069,13.081,26,16,75,26,1.5122,1.528,32.5258,25.5278,4.6061,26,14,37,26,0.04461,-0.2327,26.134,67.5278,12.3469,57,36,106,68,0.09007,-0.03165,61.7526,29.0278,5.302,29,19,51,29,0.7175,1.5187,28.323,50.4861,12.8368,49,21,104,49,0.4299,1.107,45.9553,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\9_0010-0752.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\9_0010-0752.tif
9,0269-0493,129,493.1434,269.0194,32.1318,10.6451,23,7,71,31,0.6477,1.2174,29.62,76.7519,32.5919,62,18,191,70,0.7079,0.4464,33.1967,139.3023,58.8238,255,43,255,128,0.5715,-0.7195,43.1633,47.2403,27.702,30,7,134,42,1.1125,1.0002,16.59,17.9845,5.6013,16,6,31,17,0.471,-0.271,17.1967,38.6279,13.5624,32,17,80,37,0.7349,0.4369,21.6867,24.2016,5.2773,24,12,41,24,0.5862,0.3774,29.2833,68.3101,17.7151,67,34,119,67,0.3237,-0.4117,42.4467,47.0155,19.7255,36,18,122,43,1.102,1.2984,26.3533,41.5426,15.617,35,16,90,38,0.79,0.1924,25.5533,22.8915,3.2959,24,15,33,23,0.4589,0.3624,19.1833,26.7287,4.2898,25,18,39,26,0.6761,0.1772,34.43,68.8527,11.2055,65,43,95,70,-0.04119,-0.657,58.8567,27.2016,4.8013,27,17,47,27,0.8375,2.123,23.5033,49.6357,12.3851,41,20,85,50,0.06098,-0.3951,46.8567,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\10_0269-0493.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\10_0269-0493.tif
